Country,Twh,Number
Argentina,10.0,3
Armenia,2.6,1
Bangladesh,0,0
Belarus,0.3,1
Belgium,32.8,7
Brazil,13.2,2
Bulgaria,15.9,2
Canada,92.2,19
China,344.7,51
Czech Republic,28.4,6
Egypt,0,0
Finland,22.4,4
France,338.7,56
Germany,60.9,6
Hungary,15.2,4
India,40.4,23
Iran,5.8,1
Japan,43.0,33
Jordan,0,0
Kazakhstan,0,0
Korea RO (South),152.6,24
Lithuania,0,0
Mexico,10.9,2
Netherlands,3.9,1
Pakistan,9.6,6
Poland,0,0
Romania,10.6,2
Russia,201.8,38
Saudi Arabia,0,0
Slovakia,14.4,4
Slovenia,6.0,1
South Africa,11.6,2
Spain,55.8,7
Sweden,47.4,6
Switzerland,23.0,4
Thailand,0,0
Turkey,0,0
Ukraine,71.5,15
UAE,1.6,2
United Kingdom,45.9,13
USA,789.9,93
Uzbekistan,0,0