date,close
2020-10-06,6936.200195
2020-10-07,6910.100098
2020-10-08,6992.799805
2020-10-09,6950.899902
2020-10-12,6951.000000
2020-10-13,6875.200195
2020-10-14,6916.600098
2020-10-15,6816.799805
2020-10-16,6849.700195
2020-10-19,6860.200195
2020-10-20,6927.299805
2020-10-21,6811.500000
2020-10-22,6796.600098
2020-10-23,6893.399902
2020-10-26,6796.899902
2020-10-27,6651.299805
2020-10-28,6474.399902
2020-10-29,6411.799805
2020-10-30,6452.200195
2020-11-02,6585.600098
2020-11-03,6751.600098
2020-11-04,6781.899902
2020-11-05,6924.200195
2020-11-06,6870.399902
2020-11-09,7459.399902
2020-11-10,7711.399902
2020-11-11,7793.700195
2020-11-12,7726.000000
2020-11-13,7783.700195
2020-11-16,7986.200195
2020-11-17,7934.299805
2020-11-18,7981.500000
2020-11-19,7930.200195
2020-11-20,7977.899902
2020-11-23,7981.200195
2020-11-24,8143.200195
2020-11-25,8164.700195
2020-11-26,8104.600098
2020-11-27,8190.700195
2020-11-30,8076.899902
2020-12-01,8140.799805
2020-12-02,8220.799805
2020-12-03,8200.700195
2020-12-04,8322.900391
2020-12-07,8275.599609
2020-12-08,8227.599609
2020-12-09,8235.299805
2020-12-10,8182.299805
2020-12-11,8063.100098
2020-12-14,8140.799805
2020-12-15,8152.399902
2020-12-16,8139.500000
2020-12-17,8153.399902
2020-12-18,8037.399902
2020-12-21,7789.799805
2020-12-22,7934.200195
2020-12-23,8073.600098
2020-12-24,8111.500000
2020-12-28,8155.600098
2020-12-29,8174.799805
2020-12-30,8154.399902
2020-12-31,8073.700195
2021-01-04,8099.200195
2021-01-05,8091.500000
2021-01-06,8350.299805
2021-01-07,8385.799805
2021-01-08,8407.700195
2021-01-11,8357.500000
2021-01-12,8345.900391
2021-01-13,8361.099609
2021-01-14,8372.400391
2021-01-15,8230.700195
2021-01-18,8254.500000
2021-01-19,8199.000000
2021-01-20,8204.099609
2021-01-21,8122.100098
2021-01-22,8036.399902
2021-01-25,7897.299805
2021-01-26,7964.899902
2021-01-27,7852.700195
2021-01-28,7932.500000
2021-01-29,7757.500000
2021-02-01,7798.200195
2021-02-02,7950.899902
2021-02-03,8012.799805
2021-02-04,8122.600098
2021-02-05,8214.700195
2021-02-08,8219.000000
2021-02-09,8101.000000
2021-02-10,8065.399902
2021-02-11,8037.600098
2021-02-12,8055.000000
2021-02-15,8203.500000
2021-02-16,8153.700195
2021-02-17,8122.700195
2021-02-18,8058.100098
2021-02-19,8151.600098
2021-02-22,8112.200195
2021-02-23,8252.099609
2021-02-24,8269.599609
2021-02-25,8317.799805
2021-02-26,8225.000000
2021-03-01,8378.099609
2021-03-02,8355.799805
2021-03-03,8329.299805
2021-03-04,8354.000000
2021-03-05,8286.799805
2021-03-08,8444.200195
2021-03-09,8496.400391
2021-03-10,8525.200195
2021-03-11,8593.000000
2021-03-12,8644.500000
2021-03-15,8635.400391
2021-03-16,8657.700195
2021-03-17,8599.500000
2021-03-18,8624.599609
2021-03-19,8493.000000
2021-03-22,8343.500000
2021-03-23,8390.299805
2021-03-24,8443.700195
2021-03-25,8409.500000
2021-03-26,8498.200195
2021-03-29,8492.099609
2021-03-30,8595.200195
2021-03-31,8580.000000
2021-04-01,8577.599609
2021-04-06,8634.599609
2021-04-07,8597.400391
2021-04-08,8637.799805
2021-04-09,8565.799805
2021-04-12,8532.599609
2021-04-13,8525.099609
2021-04-14,8588.400391
2021-04-15,8571.599609
2021-04-16,8613.500000
2021-04-19,8711.400391
2021-04-20,8459.400391
2021-04-21,8519.799805
2021-04-22,8656.799805
2021-04-23,8618.599609
2021-04-26,8701.900391
2021-04-27,8756.700195
2021-04-28,8799.599609
2021-04-29,8823.200195
2021-04-30,8815.000000
2021-05-03,8893.700195
2021-05-04,8830.400391
2021-05-05,8967.799805
2021-05-06,8982.200195
2021-05-07,9059.200195
2021-05-10,9144.299805
2021-05-11,8987.200195
2021-05-12,9007.700195
2021-05-13,8966.200195
2021-05-14,9145.599609
2021-05-17,9155.599609
2021-05-18,9183.900391
2021-05-19,9070.700195
2021-05-20,9124.299805
2021-05-21,9204.000000
2021-05-24,9205.500000
2021-05-25,9208.700195
2021-05-26,9196.900391
2021-05-27,9186.099609
2021-05-28,9224.599609
2021-05-31,9148.900391
2021-06-01,9189.700195
2021-06-02,9180.700195
2021-06-03,9142.400391
2021-06-04,9088.299805
2021-06-07,9163.599609
2021-06-08,9153.599609
2021-06-09,9156.099609
2021-06-10,9133.799805
2021-06-11,9205.000000
2021-06-14,9281.099609
2021-06-15,9230.700195
2021-06-16,9202.200195
2021-06-17,9195.900391
2021-06-18,9030.599609
2021-06-21,9051.700195
2021-06-22,9053.299805
2021-06-23,8954.099609
2021-06-24,9074.099609
2021-06-25,9095.000000
2021-06-28,8913.700195
2021-06-29,8915.099609
2021-06-30,8821.200195
2021-07-01,8932.299805
2021-07-02,8907.599609
2021-07-05,8946.400391
2021-07-06,8860.799805
2021-07-07,8854.500000
2021-07-08,8650.099609
2021-07-09,8776.599609
2021-07-12,8816.700195
2021-07-13,8694.799805
2021-07-14,8658.299805
2021-07-15,8527.000000
2021-07-16,8506.200195
2021-07-19,8301.700195
2021-07-20,8358.000000
2021-07-21,8567.000000
2021-07-22,8621.799805
2021-07-23,8717.200195
2021-07-26,8775.200195
2021-07-27,8699.200195
2021-07-28,8733.700195
2021-07-29,8786.299805
2021-07-30,8675.700195
2021-08-02,8758.700195
2021-08-03,8772.799805
2021-08-04,8792.900391
2021-08-05,8836.500000
2021-08-06,8879.000000
2021-08-09,8865.900391
2021-08-10,8899.000000
2021-08-11,8975.799805
2021-08-12,8979.400391
2021-08-13,8999.799805
2021-08-16,8926.599609
2021-08-17,8865.700195
2021-08-18,8970.200195
2021-08-19,8902.200195
2021-08-20,8915.299805
2021-08-23,8968.099609
2021-08-24,8948.599609
2021-08-25,8977.400391
2021-08-26,8892.700195
2021-08-27,8922.200195
2021-08-30,8867.900391
2021-08-31,8846.599609
2021-09-01,8991.500000
2021-09-02,8981.400391
2021-09-03,8864.000000
2021-09-06,8882.299805
2021-09-07,8894.500000
2021-09-08,8838.700195
2021-09-09,8800.599609
2021-09-10,8695.299805
2021-09-13,8816.099609
2021-09-14,8780.000000
2021-09-15,8635.400391
2021-09-16,8733.700195
2021-09-17,8760.900391
2021-09-20,8655.400391
2021-09-21,8756.000000
2021-09-22,8808.400391
2021-09-23,8876.900391
2021-09-24,8873.099609
2021-09-27,9002.900391
2021-09-28,8769.400391
2021-09-29,8879.400391
2021-09-30,8796.299805
2021-10-01,8799.500000
2021-10-04,8791.700195
2021-10-05,8927.400391
2021-10-06,8775.000000