Rank,Nat.,Player,Years active,Goals,Apps,Ratio
1,Argentina,Lionel Messi,2004–2021,474,520,0.91
2,Portugal,Cristiano Ronaldo,2009–2018,311,292,1.07
3,Spain,Telmo Zarra,1940–1955,251,278,0.9
4,Mexico,Hugo Sánchez,1981–1994,234,347,0.67
5,Spain,Raúl,1994–2010,228,550,0.41
6,Argentina,Alfredo Di Stéfano,1953–1966,227,329,0.69
7,Spain,César Rodríguez,1939–1955,223,353,0.63
8,Spain,Quini,1970–1987,219,448,0.49
9,Spain,Pahiño,1943–1956,210,278,0.76
10,France,Karim Benzema,2009–,202,394,0.51
11,Spain,Edmundo Suárez,1939–1950,195,231,0.84
12,Spain,Santillana,1970–1988,186,461,0.4
13,Spain,David Villa,2003–2014,185,352,0.53
14,Spain,Juan Arza,1943–1959,182,349,0.52
15,Spain,Guillermo Gorostiza,1929–1945,178,256,0.7
16,Uruguay,Luis Suárez,2014–,175,235,0.74
17,Cameroon,Samuel Eto'o,1998–2009,162,280,0.58
18,Spain,Luis Aragonés,1960–1974,160,360,0.44
19,Spain,Aritz Aduriz,2002–2020,158,443,0.36
19,France,Antoine Griezmann,2010–,158,404,0.39
21,Hungary,Ferenc Puskás,1958–1966,156,180,0.87
22,Spain,Julio Salinas,1982–2000,152,417,0.36
23,Spain,Adrián Escudero,1945–1958,150,287,0.52
24,Spain,Daniel Ruiz,1974–1986,147,303,0.49
25,Spain,Raúl Tamudo,1997–2013,146,407,0.36
26,Spain,Silvestre Igoa,1941–1956,141,284,0.5
27,Spain,Manuel Badenes,1946–1959,139,201,0.69
27,Spain,Juan Araújo,1945–1956,139,207,0.67
27,Spain,José Mari Bakero,1980–1997,139,483,0.29
30,Hungary,László Kubala,1951–1965,138,215,0.64