Age,Population
0,328226
1,353564
2,373710
3,395826
4,420410
5,437754
6,447018
7,447990
8,457582
9,478212
10,489217
11,496537
12,514640
13,519047
14,509164
15,503573
16,497498
17,493014
18,484095
19,480033
20,484377
21,483667
22,476459
23,476559
24,480356
25,481464
26,487416
27,501074
28,518210
29,524812
30,527539
31,535499
32,544018
33,551906
34,561959
35,578241
36,599107
37,620402
38,648396
39,681233
40,713066
41,741069
42,769113
43,791365
44,803885
45,808171
46,802135
47,789491
48,777865
49,769726
50,757745
51,747929
52,740126
53,737967
54,729917
55,716900
56,717111
57,702554
58,672037
59,650962
60,642574
61,632683
62,613965
63,596927
64,567567
65,537131
66,514402
67,499650
68,495196
69,474940
70,450617
71,449760
72,463427
73,448047
74,412677
75,405656
76,397396
77,376560
78,340575
79,295593
80,305482
81,271891
82,220949
83,237391
84,249399
85,241174
86,218905
87,201652
88,183365
89,157984
90,134008
91,111608
92,89488
93,70290
94,53951
95,41505
96,30676
97,22271
98,15739
99,10681
100,14001